[final],
"10","10000",
"10","10000",
"7","10000",
"6","10000",
"8","10000",
"6","10000",
"8","10000",
"6","10000",
"7","10000",
"2","10000",
"3","10000",
"4","10000",
"9","10000",
"10","10000",
"4","10000",
"0","10000",
"2","10000",
"9","10000",
"0","10000",
"5","10000",
"6","10000",
"4","10000",
"8","10000",
"0","10000",
"9","10000",
"4","10000",
"1","10000",
"9","10000",
"1","10000",
"5","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"10","10000",
"11","10000",
"28","10000",
"7","10000",
"23","10000",
"7","10000",
"7","10000",
"7","10000",
"14","10000",
"24","10000",
"21","10000",
"28","10000",
"27","10000",
"21","10000",
"16","10000",
"29","10000",
"19","10000",
"23","10000",
"17","10000",
"5","10000",
"16","10000",
"15","10000",
"10","10000",
"24","10000",
"21","10000",
"15","10000",
"16","10000",
"19","10000",
"8","10000",
"19","10000",
"17","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"29","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"30","10000",
"35","10000",
"22","10000",
"22","10000",
"34","10000",
"30","10000",
"3","10000",
"49","10000",
"24","10000",
"43","10000",
"20","10000",
"37","10000",
"37","10000",
"29","10000",
"44","10000",
"45","10000",
"29","10000",
"41","10000",
"1","10000",
"42","10000",
"40","10000",
"27","10000",
"2","10000",
"24","10000",
"12","10000",
"47","10000",
"11","10000",
"23","10000",
"24","10000",
"20","10000",
"4","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000",
"50","10000"
