[final],
"0","2892",
"0","1982",
"0","1061",
"0","696",
"0","1215",
"0","986",
"0","978",
"0","1913",
"0","935",
"0","1108",
"0","4029",
"0","2351",
"0","2743",
"0","3805",
"0","3785",
"0","1572",
"0","3431",
"0","2777",
"0","2489",
"0","3749",
"2","10000",
"2","10000",
"5","10000",
"0","9269",
"3","10000",
"4","10000",
"7","10000",
"5","10000",
"2","10000",
"0","9190",
"1","10000",
"1","10000",
"1","10000",
"2","10000",
"2","10000",
"1","10000",
"0","9430",
"1","10000",
"0","9258",
"1","10000",
"5","10000",
"2","10000",
"0","6622",
"3","10000",
"2","10000",
"3","10000",
"3","10000",
"1","10000",
"2","10000",
"1","10000",
"5","10000",
"7","10000",
"2","10000",
"4","10000",
"0","9530",
"1","10000",
"4","10000",
"1","10000",
"5","10000",
"4","10000",
"2","10000",
"2","10000",
"2","10000",
"2","10000",
"3","10000",
"0","8858",
"5","10000",
"1","10000",
"2","10000",
"2","10000",
"3","10000",
"5","10000",
"3","10000",
"3","10000",
"6","10000",
"0","9639",
"3","10000",
"2","10000",
"3","10000",
"3","10000",
"5","10000",
"5","10000",
"4","10000",
"3","10000",
"4","10000",
"3","10000",
"3","10000",
"2","10000",
"5","10000",
"1","10000",
"0","2247",
"0","4323",
"0","1640",
"0","6106",
"0","1878",
"0","2888",
"0","1741",
"0","2094",
"0","2023",
"0","1955",
"0","3438",
"1","10000",
"0","6441",
"0","9481",
"2","10000",
"0","3052",
"1","10000",
"0","2695",
"0","6147",
"0","4872",
"10","10000",
"9","10000",
"14","10000",
"3","10000",
"2","10000",
"0","8686",
"9","10000",
"2","10000",
"8","10000",
"6","10000",
"1","10000",
"3","10000",
"3","10000",
"7","10000",
"0","8915",
"0","8052",
"7","10000",
"3","10000",
"6","10000",
"0","1702",
"7","10000",
"10","10000",
"17","10000",
"2","10000",
"7","10000",
"9","10000",
"6","10000",
"8","10000",
"6","10000",
"7","10000",
"3","10000",
"9","10000",
"10","10000",
"12","10000",
"8","10000",
"11","10000",
"8","10000",
"9","10000",
"8","10000",
"14","10000",
"11","10000",
"14","10000",
"6","10000",
"9","10000",
"7","10000",
"5","10000",
"7","10000",
"6","10000",
"7","10000",
"9","10000",
"12","10000",
"11","10000",
"3","10000",
"9","10000",
"10","10000",
"4","10000",
"11","10000",
"5","10000",
"13","10000",
"11","10000",
"8","10000",
"10","10000",
"10","10000",
"9","10000",
"10","10000",
"13","10000",
"8","10000",
"16","10000",
"7","10000",
"9","10000",
"0","2062",
"0","2076",
"0","1637",
"0","3455",
"0","1440",
"0","4621",
"0","2662",
"0","4996",
"0","3553",
"0","1746",
"0","5301",
"0","5426",
"0","6098",
"1","10000",
"0","6323",
"0","3719",
"0","4939",
"0","4606",
"0","3968",
"0","2797",
"9","10000",
"7","10000",
"13","10000",
"17","10000",
"9","10000",
"13","10000",
"8","10000",
"10","10000",
"11","10000",
"3","10000",
"5","10000",
"8","10000",
"13","10000",
"1","10000",
"0","9350",
"1","10000",
"8","10000",
"4","10000",
"1","10000",
"7","10000",
"13","10000",
"13","10000",
"11","10000",
"18","10000",
"8","10000",
"9","10000",
"5","10000",
"5","10000",
"6","10000",
"12","10000",
"21","10000",
"20","10000",
"14","10000",
"14","10000",
"16","10000",
"19","10000",
"19","10000",
"15","10000",
"18","10000",
"11","10000",
"8","10000",
"8","10000",
"14","10000",
"11","10000",
"10","10000",
"13","10000",
"9","10000",
"16","10000",
"16","10000",
"18","10000",
"16","10000",
"14","10000",
"10","10000",
"11","10000",
"18","10000",
"23","10000",
"16","10000",
"18","10000",
"9","10000",
"20","10000",
"20","10000",
"29","10000",
"14","10000",
"26","10000",
"17","10000",
"16","10000",
"22","10000",
"18","10000",
"23","10000",
"17","10000"
